,Unnamed: 0,tweet,topic_1,compound_score,positive_score,negative_score,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sentiment,lang
1130,1130,RT MarkHertling: Putins strategic objectives: 1. Subjugate Ukraine 2. Divide NATO 3. Take advantage of a divided US 4. Increase oil reve ,Putin,0.5106,0.185,0.0,Ukraine,NATO,0,0,0,0,1,en
1131,1131,RT CheesesSliced: KyivIndependent Putins greatest weapon isnt his military. It isnt his propaganda. Its not even his nukes. Putins ,Putin,0.5775,0.246,0.091,Kyiv,0,0,0,0,0,1,en
1132,1132,RT RealPNavarro: Please retweet this to the world. HUGE threat to all of us... Putin Plays Chinese Checkers in a Chess World https://t.… ,Putin,0.4466,0.255,0.118,0,0,0,0,0,0,1,en
1133,1133,RT FoxNews: WE WILL WIN: President Volodymyr Zelenskyy praises the bravery of Ukrainians as the war enters its 18th day. Live updates: h ,Ukrainian,0.8038,0.337,0.118,Zelensky,0,0,0,0,0,1,en
1134,1134,"RT AaronBastani: The Azov Battalion amp Ukraines Far Right, Explained Great explainer from michaeljswalker on a political tendency which ",Ukraine,0.6249,0.194,0.0,0,0,0,0,0,0,1,en
1135,1135,RT tmsnbb: Russian oil giant Lukoil had big dreams for its U.S. gas stations. The invasion of Ukraine could spell the end. Chip Away in Ha ,Ukraine,0.6249,0.175,0.0,Russian,Russia,0,0,0,0,1,en
1136,1136,"tariqpanja BobHelpful And the other is owned by someone who is best friends with Putin, a man who has murdered 1 https://t.co/uoUcOpykSY ",Putin,0.4404,0.254,0.153,0,0,0,0,0,0,1,en
1137,1137,RT AlanKerr9: WE SHALL NEVER SURRENDER. (Churchill) NO SURRENDER TO PUTIN https://t.co/uXD2zj178E NO SURRENDER TO COVID https://t.co/EGa… ,Putin,0.5941,0.245,0.0,0,0,0,0,0,0,1,en
1138,1138,RT olgatokariuk: Ukraine ranked second at Beijing winter Paralympics the best result in history. Spokeswoman of the Ukrainian Paralympic ,Ukraine,0.6369,0.189,0.0,Ukrainian,0,0,0,0,0,1,en
1139,1139,"RT visegrad24: Sonia Plotnikova, daughter of Vladimir Plotnikov, who is an MP of Putins party and close associate, writes on Instagram ",Putin,0.4019,0.119,0.0,0,0,0,0,0,0,1,en
1140,1140,"RT SkyNews: BREAKING: Ukrainian President Volodymyr Zelenskyy says we must hold on, we must fight, and we shall win. He adds we are und ",Ukrainian,0.296,0.134,0.092,Zelensky,0,0,0,0,0,1,en
1141,1141,"RT Kasparov63: After 20 years, Putin has grown large amp aggressive. The answer is not to let him grow bigger and bolder, but to diminish hi ",Putin,0.0772,0.059,0.048,0,0,0,0,0,0,1,en
1142,1142,RT FischerKing64: Watched the Oliver Stone film Ukraine On Fire. Pretty obvious to me folks dont want you to see it not so much bc of ,Ukraine,0.1476,0.107,0.121,0,0,0,0,0,0,1,en
1143,1143,"RT MarisaKabas: URGENT NEED My friend in Poland is organizing 50person buses to transport Ukrainian refugees from the border, and they n ",Ukrainian,0.694,0.232,0.0,0,0,0,0,0,0,1,en
1144,1144,RT AngryStaffer: Kadyrov should definitely keep posting on his Telegram while hes in Ukraine. Theres no way that would lead an enterp ,Ukraine,0.128,0.108,0.088,0,0,0,0,0,0,1,en
1145,1145,KyivIndependent Ohioan heresenrobportman is no friend of Ukraine as he purports to be. The account below shows h https://t.co/Xz6UeExk1I ,Ukraine,0.25,0.15,0.103,Kyiv,0,0,0,0,0,1,en
1146,1146,"RT CalltoActivism: If you are THRILLED to see the biggest rapper in Russia risk his freedom by releasing an antiwar video, then SMASH the ",Russia,0.7739,0.253,0.068,0,0,0,0,0,0,1,en
1147,1147,"RT chrismartenson: I trust absolutely nothing about any of the reporting on Ukraine. Neither side, not mainstream outlets. None of it. ",Ukraine,0.5106,0.148,0.0,0,0,0,0,0,0,1,en
1148,1148,Francesco0996 Take a look at list of countries supporting Russians contention of U.S. Biolabs in Ukraine and let your mind run wild ,Ukraine,0.4404,0.127,0.0,Russian,Russia,0,0,0,0,1,en
1149,1149,Will charities catch up amp stop pestering us for cash. Question. Has Ukraine got a democratic system amp how many pol https://t.co/1sEUgX21Eu ,Ukraine,0.25,0.131,0.09,0,0,0,0,0,0,1,en
1150,1150,"RT dwnews: The EU is happy to supply aid and weapons to Ukraine and to take care of refugees, but it seems unwilling to take any ",Ukraine,0.3612,0.151,0.066,0,0,0,0,0,0,1,en
1151,1151,"RT Surisskeptic: WERE LIVE Showing off our new baby, Emrakul ) Also remember all paypal donos go to Ukraine Relief for the rebooted ",Ukraine,0.4767,0.129,0.0,0,0,0,0,0,0,1,en
1152,1152,"RT minnahuoti: Dear university students who escape from Ukraine in the middle of your studies, pls know that you are very welcome in Hels ",Ukraine,0.7841,0.308,0.0,0,0,0,0,0,0,1,en
1153,1153,"DeptofDefense SecDef NATO hope us will respect at least this article, i have some concerns because they didnt r https://t.co/Ab51c3rc2t ",NATO,0.7184,0.273,0.0,0,0,0,0,0,0,1,en
1154,1154,RT AngryStaffer: Kadyrov should definitely keep posting on his Telegram while hes in Ukraine. Theres no way that would lead an enterp ,Ukraine,0.128,0.108,0.088,0,0,0,0,0,0,1,en
1155,1155,"nathaliejacoby1 Nope. I bet Putin does put the Pope on his hit list, though. Despots like Putin tend to do that. ",Putin,0.3612,0.116,0.0,0,0,0,0,0,0,1,en
1156,1156,I love the sound of this U.K. Wants to House Ukraine Refugees in Russian Oligarch Mansions https://t.co/ZAn58fmQF5 via thedailybeast ,Ukraine,0.6369,0.198,0.0,Russian,Russia,0,0,0,0,1,en
1157,1157,RT ShawnInArizona: South Dakota SenatorRounds (R) appeared on the Fox network Sunday to celebrate the weapons that were being sent to hel ,NATO,0.2023,0.139,0.109,0,0,0,0,0,0,1,en
1158,1158,RT pcbrynn: Teachers in Russia have been ordered to teach that the Ukraine invasion is a special peacekeeping mission and that NATO pose ,Ukraine,0.6908,0.222,0.0,NATO,Russia,0,0,0,0,1,en
1159,1159,West is leaving Putin without a way out of this. The opposite is also true. Wer running out of alternatives. If Pu https://t.co/pWY8ksrjkE ,Putin,0.1779,0.112,0.084,0,0,0,0,0,0,1,en
1160,1160,"RT oryxspioenkop: Ukraine: Invade in the mud season they said, it will be fine they said. https://t.co/aRNTuPRiYk ",Ukraine,0.2023,0.101,0.0,0,0,0,0,0,0,1,en
1161,1161,RT KaterynaKruk: putin: we need to denazify Ukraine. Ukrainian Jews: join Armed Forces of Ukraine to defend Ukraine from Russia. https://… ,Putin,0.296,0.099,0.0,Ukraine,Ukrainian,Russia,0,0,0,1,en
1162,1162,"RT maxseddon: Ramzan Kadyrov, the strongman leader of Chechnya, says hes in Ukraine. He claims this video shows him leading Chechen force ",Ukraine,0.1779,0.075,0.0,0,0,0,0,0,0,1,en
1163,1163,RT sacri: please dont make obs tiktoks about the ukraine and russia conflict thanks https://t.co/3w38ouKAPV ,Ukraine,0.4404,0.267,0.118,Russia,0,0,0,0,0,1,en
1164,1164,RT AnaCabrera: NEW: Ukraines National Energy Company(NEC) Ukrenergo says it completed repair work and resumed power supply to the Chernob ,Ukraine,0.2732,0.1,0.0,0,0,0,0,0,0,1,en
1165,1165,RichardHaass Xi could deny and offer help to Putin secretly ,Putin,0.0772,0.206,0.183,0,0,0,0,0,0,1,en
1166,1166,"RT disclosetv: JUST IN Russian naval forces established a blockade on Ukraines Black Sea coast, says the British Ministry of Defense. ",Ukraine,0.128,0.073,0.0,Russian,Russia,0,0,0,0,1,en
1167,1167,"RWApodcast They want to break Russia into little pieces, theyve admitted this. They want to end Russia and destro https://t.co/GnuOekp3kc ",Russia,0.1868,0.18,0.0,0,0,0,0,0,0,1,en
1168,1168,RT McFaul: There is no way Putin will succeed in subjugating these heroic Ukrainians. Wont happen. ,Putin,0.6808,0.309,0.1,Ukrainian,0,0,0,0,0,1,en
1169,1169,RT ChristopherJM: President Zelensky walked to a hospital today to visit wounded Ukrainian soldiers and award them with state honors for t ,Ukrainian,0.7783,0.274,0.0,Zelensky,0,0,0,0,0,1,en
1170,1170,RT KyivIndependent: Reuters: Ukraine employs Clearview AI facial recognition. Defense Ministry has reportedly been granted free acces ,Ukraine,0.7003,0.327,0.0,Kyiv,0,0,0,0,0,1,en
1171,1171,pbs713 lentilstanley Kasparov63 In your world then every other country would submit to Putin even other nuclear powers. Good for you. ,Putin,0.4404,0.127,0.0,0,0,0,0,0,0,1,en
1172,1172,"RT S3333Angel: PalmerReport mmpadellan After Ukraine wins, do we get to keep sanctions on Russia until they pay Ukraine Sell confiscate ",Ukraine,0.5106,0.154,0.058,Russia,0,0,0,0,0,1,en
1173,1173,A new stamp honors the Ukrainian soldiers who profanely told off a Russian warship https://t.co/AplhSLD7x2 ,Ukrainian,0.3818,0.206,0.106,Russian,Russia,0,0,0,0,1,en
1174,1174,RT abornyakov: Crypto assets proved extremely helpful in facilitation of funding flows to the Amed Forces of Ukraine. Huge thanks to every ,Ukraine,0.8399,0.357,0.0,0,0,0,0,0,0,1,en
1175,1175,RT prchovanec: Former President Donald Trump said there is a lot of love behind Russian President Vladimir Putins efforts to make his ,Putin,0.6369,0.174,0.0,Russian,Russia,0,0,0,0,1,en
1176,1176,paulocoelho A couple of weeks ago Russia started sitting out the front of Ukraines house amp when her friends ask h https://t.co/ajDWaQ8MLd ,Ukraine,0.4767,0.14,0.0,Russia,0,0,0,0,0,1,en
1177,1177,YangonT35814013 olliecarroll Yes Putin said it so it must be true ,Putin,0.6705,0.379,0.0,0,0,0,0,0,0,1,en
1178,1178,RT RichardHaass: Reports that Putin asking Xi for military help. To do so means China would open itself to substantial sanctions and make ,Putin,0.5423,0.176,0.0,0,0,0,0,0,0,1,en
1179,1179,RT KyivIndependent: UK actor Benedict Cumberbatch wants to house Ukrainian refugees. Cumberbatch told Sky News that he hoped to partici ,Ukrainian,0.3818,0.12,0.0,Kyiv,0,0,0,0,0,1,en
1180,1180,RT KaterynaKruk: putin: we need to denazify Ukraine. Ukrainian Jews: join Armed Forces of Ukraine to defend Ukraine from Russia. https://… ,Putin,0.296,0.099,0.0,Ukraine,Ukrainian,Russia,0,0,0,1,en
1181,1181,RT ysxsh: The goal of marking antiimperialists as Putin supporters (while simultaneously equating Putin with Hitler as weve seen unfol ,Putin,0.4404,0.132,0.0,0,0,0,0,0,0,1,en
1182,1182,"The Anonymous hacker group has published a message specifically designed to reach Russian citizens, urging them https://t.co/hPslrmbD3I ",Russian,0.0258,0.068,0.0,Russia,0,0,0,0,0,1,en
1183,1183,JustJennKat1 TulsiGabbard MittRomney Ukraine has paid Mitchs kid well. Recognize that Tulsi had the receipts. https://t.co/j4siK3CH4k ,Ukraine,0.2732,0.123,0.0,0,0,0,0,0,0,1,en
1184,1184,RT NatashaBertrand: Just in: President Zelensky has informed the Council of Europe that he is now unable to address them given urgent matt ,Zelensky,0.2023,0.076,0.0,0,0,0,0,0,0,1,en
1185,1185,Fox host admits Trump tried to bribe Ukraine in accidental selfown https://t.co/MW9iLTwafa ,Ukraine,0.0258,0.154,0.217,0,0,0,0,0,0,1,en
1186,1186,RT calxandr: Victory now requires: unrestricted military support for Ukraine under article 51 of the UN Charter full economichu ,Ukraine,0.4019,0.13,0.0,0,0,0,0,0,0,1,en
1187,1187,RT MayoIsSpicyy: How did America produce so many Putin loving traitors ,Putin,0.6326,0.294,0.0,0,0,0,0,0,0,1,en
1188,1188,"RT supertanskiii: Its already begun. The Conservatives dont just take Putins money, theyre inspired by his approach. https://t.co/1hk… ",Putin,0.4939,0.158,0.0,0,0,0,0,0,0,1,en
1189,1189,"RT visegrad24: Singers at a Palestinian wedding encourage Putin to increase attacks in Ukraine, forcing Ukrainians to flee abroad and maki ",Putin,0.4019,0.22,0.114,Ukraine,Ukrainian,0,0,0,0,1,en
1190,1190,"RT TulsiGabbard: The United States, through BTRP, has invested approximately 200 million in Ukraine since 2005, supporting 46 Ukrainian ",Ukraine,0.6908,0.251,0.0,Ukrainian,0,0,0,0,0,1,en
1191,1191,RT KaterynaKruk: putin: we need to denazify Ukraine. Ukrainian Jews: join Armed Forces of Ukraine to defend Ukraine from Russia. https://… ,Putin,0.296,0.099,0.0,Ukraine,Ukrainian,Russia,0,0,0,1,en
1192,1192,RT EdHull8: Putin couldnt find enough Russian soldiers to send to their deaths in Ukraine to satisfy his armys cannon fodder requirement ,Putin,0.4588,0.125,0.0,Ukraine,Russian,Russia,0,0,0,1,en
1193,1193,RT NatashaBertrand: Just in: President Zelensky has informed the Council of Europe that he is now unable to address them given urgent matt ,Zelensky,0.2023,0.076,0.0,0,0,0,0,0,0,1,en
1194,1194,RT monacharen: But its ghastly how eager they are to latch on to Putins version of events to score cheap points against Democrats and a ,Putin,0.5023,0.124,0.0,0,0,0,0,0,0,1,en
1195,1195,"RT michaeldweiss: The truth is, with enough arms, the Ukrainians can break the invaders, and in some areas they have begun to do so. By ",Ukrainian,0.3182,0.087,0.0,0,0,0,0,0,0,1,en
1196,1196,RT LordSugar: What with Covid and Ukraine. Many a true word ..... https://t.co/VLXSnrYT5i ,Ukraine,0.4215,0.203,0.0,0,0,0,0,0,0,1,en
1197,1197,ZuckerbergMeta Confession: They think Im Pro Ukraine at work(I need to keep my work lol GAE implications). I hope https://t.co/YkGOohtioS ,Ukraine,0.6908,0.251,0.0,0,0,0,0,0,0,1,en
1198,1198,RT ArmadaleAcademy: What a school amp community. Thanks to everyone who made a contribution to our Humanitarian Aid campaign for Ukraine . ,Ukraine,0.4404,0.139,0.0,0,0,0,0,0,0,1,en
1199,1199,RT rommari: Personal asktweet: I wrote a firsthand account article (1K words) on my experience of the Russian invasion and escaping Ukra ,Russian,0.0516,0.059,0.0,Russia,0,0,0,0,0,1,en
1200,1200,"RT supertanskiii: Its already begun. The Conservatives dont just take Putins money, theyre inspired by his approach. https://t.co/1hk… ",Putin,0.4939,0.158,0.0,0,0,0,0,0,0,1,en
1201,1201,RT strategywoman: 12:15 pm in Ukraine I was so happy to see my colleagues. We had online meeting call of our second product. Decided to ,Ukraine,0.6948,0.171,0.0,0,0,0,0,0,0,1,en
1202,1202,"RT samuelmarsden: A nice initiative from Espanyol, who have sent a bus full of supplies and medicine to the Ukraine border and will bring ",Ukraine,0.4215,0.118,0.0,0,0,0,0,0,0,1,en
1203,1203,RT Wendyy2009Wendy: Ukraine Rescue031322 NFSCs volunteer received a kiss of gratitude from an Ukrainian lady 031322 ,Ukraine,0.7269,0.319,0.0,Ukrainian,0,0,0,0,0,1,en
1204,1204,"RT OlenaHalushka: Katya, 23 yo. A bodybuilder amp competitive basketball player, a champion of Ukraine. Makes pizza amp sushi. On Mar 13, she ",Ukraine,0.6808,0.228,0.0,0,0,0,0,0,0,1,en
1205,1205,RT bensaibienchen: fuecks olgatokariuk EUNATO should give at least the fighter jets If they are only used over Ukraine its actua ,Ukraine,0.1531,0.074,0.0,NATO,0,0,0,0,0,1,en
1206,1206,"RT jamesatruett: Bright Future is the genesis piece on foundation by my Ukrainian friend, jameshorizon Be sure to read the thread. It ",Ukrainian,0.8126,0.307,0.0,0,0,0,0,0,0,1,en
1207,1207,"elonmusk KremlinRussiaE Putin is professional fighter , think twice Elon ",Putin,0.1531,0.167,0.0,Russia,0,0,0,0,0,1,en
1208,1208,RT joshualandis: Putin says Moscow ready to use MidEast fighters in Ukraine Claims about Syrians headed for Ukraine remain a bit theatr ,Putin,0.3182,0.11,0.053,Ukraine,0,0,0,0,0,1,en
1209,1209,"LordHumungous3 I am no fan of putin,but i very much respect integrity. When he says hes gonna do something he doe https://t.co/rkEerES9aX ",Putin,0.7463,0.319,0.082,0,0,0,0,0,0,1,en
1210,1210,"RT davidpilling: Picture, thousand words. Putin (amp Xi) brilliantly captured in this James Ferguson cartoon. https://t.co/R383Puqkpd ",Putin,0.6124,0.211,0.0,0,0,0,0,0,0,1,en
1211,1211,RT varyagi: Some insight into what makes Russias Vladimir Putin our times greatest living statesman. http:t.cobQmFx9WbnF http:t ,Putin,0.6369,0.208,0.0,Russia,0,0,0,0,0,1,en
1212,1212,RT Klitschko: Putins dream of creating a Greater Russia is my countrys nightmare. SaveUkraine kyiv StopPutinsWar Standtogether Fre ,Putin,0.6908,0.324,0.0,Ukraine,Kyiv,Russia,0,0,0,1,en
1213,1213,"RT iistalrii: Charity stream for Ukraine on wigjs Twitch channel this Friday, all details below in the picture https://t.co/kh8AG8UZFr ",Ukraine,0.4215,0.135,0.0,0,0,0,0,0,0,1,en
1214,1214,RT KyivIndependent: Energoatom: Russian troops blew up explosives at Zaporizhzhia nuclear plant. Ukraines staterun nuclear energy com ,Ukraine,0.2732,0.116,0.0,Kyiv,Russian,Russia,0,0,0,1,en
1215,1215,"RT timkmak: Good morning from Ukraine. Kyiv remains in Ukrainian hands. And further to the south, unarmed Ukrainians continue to brave ",Ukraine,0.743,0.249,0.0,Ukrainian,Kyiv,0,0,0,0,1,en
1216,1216,EPPresident Save Mariupol More than 2000 civil citizens have died under Russian bombs. Protect Ukrainian civi https://t.co/vpSwH7c68I ,Ukrainian,0.296,0.248,0.154,Russian,Russia,0,0,0,0,1,en
1217,1217,RT FinancialTimes: The Financial Times is making key Ukraine coverage free to read to keep everyone informed as events unfold. ,Ukraine,0.5106,0.148,0.0,0,0,0,0,0,0,1,en
1218,1218,RT cyberyuyu: isaidelgoley Here s my latest drop 100 of the proceeds will go to support humanitarian aid in Ukraine https://t.co/… ,Ukraine,0.1531,0.118,0.092,0,0,0,0,0,0,1,en
1219,1219,"SenAngusKing Putin is not afraid of bombing International Center for Peacekeeping and Security, a facility under https://t.co/7CdATyoXAS ",Putin,0.6597,0.278,0.0,0,0,0,0,0,0,1,en
1220,1220,MysteryMickey57 Bless this sweet man. Stay strong Ukraine ,Ukraine,0.8625,0.658,0.0,0,0,0,0,0,0,1,en
1221,1221,"Looks like its over for . Its matter of time before n forces move into Kyiv. Once that happens, Zelensky will f https://t.co/WDd0eUGy6i ",Kyiv,0.3818,0.167,0.0,Zelensky,0,0,0,0,0,1,en
1222,1222,RT NataliaAntonova: Putin: Id like the Russian Empire back. I am building up troops. Now I am invading my sovereign neighbor. Now my tro ,Putin,0.3612,0.106,0.0,Russian,Russia,0,0,0,0,1,en
1223,1223,RT Bobbie08502969: I hope Koch Industries gets deeply burned as a result of the Russian economy imploding and the downfall of Putin and hi ,Putin,0.4404,0.121,0.0,Russian,Russia,0,0,0,0,1,en
1224,1224,justinbaragona No no no that would have been Trump. He loved and admired Putin amp still does Read real news ,Putin,0.3818,0.25,0.229,0,0,0,0,0,0,1,en
1225,1225,"Colgate You can and you must help both Ukraine and the whole world in the struggle for peace, in the fight against https://t.co/3FUdIInp5T ",Ukraine,0.3182,0.206,0.163,0,0,0,0,0,0,1,en
1226,1226,"RT AshPokemonHost: I do not support war, I do not support killing of civilians, I do not support Russias action. If you stand with Ukrain ",Russia,0.2235,0.219,0.223,0,0,0,0,0,0,1,en
1227,1227,Board of Trustees Pledges Financial Donation to Ukraine https://t.co/TlEgvbKhbK ,Ukraine,0.0772,0.14,0.0,0,0,0,0,0,0,1,en
1228,1228,RT mariatad: Except this is inaccurate Macron told the international press exactly the same thing he told the French: Putin has launched ,Putin,0.128,0.067,0.0,0,0,0,0,0,0,1,en
1229,1229,RT NatashaBertrand: Just in: President Zelensky has informed the Council of Europe that he is now unable to address them given urgent matt ,Zelensky,0.2023,0.076,0.0,0,0,0,0,0,0,1,en
1230,1230,RT POTUS: We are continuing the close cooperation with Allies and partners to make sure that the Ukrainian people can defend their nation. ,Ukrainian,0.3182,0.095,0.0,0,0,0,0,0,0,1,en
1231,1231,RT ZelenskyyUa: Discussed with President of the Commission vonderleyen the s support for in countering Russian aggression. Incre ,Zelensky,0.128,0.136,0.111,Russian,Russia,0,0,0,0,1,en
1233,1233,"RT VP: In Poland, I met with Prime Minister Justin Trudeau of Canada to discuss our united response to Russias invasion of Ukraine. Our c ",Ukraine,0.4215,0.113,0.0,Russia,0,0,0,0,0,1,en
1234,1234,RT JoJoFromJerz: A whole lot of Republicans are currently hedging their bets by voicing opposition to Putin while supporting trump at the ,Putin,0.4404,0.127,0.0,0,0,0,0,0,0,1,en
1235,1235,"RT UkraineWarPosts: A heartwarming video has emerged from Ukraine. A Ukrainian soldier feeds a stray dog, the dog then cuddles the soldie ",Ukraine,0.4767,0.147,0.0,Ukrainian,0,0,0,0,0,1,en
1236,1236,"RT KyivIndependent: UN: Civilian casualties reach 1,761 since Russias fullscale invasion of Ukraine began on Feb. 24. The United Nat ",Ukraine,0.4404,0.178,0.0,Kyiv,Russia,0,0,0,0,1,en
1237,1237,"RT LeeDrake: Russia wont stop at Ukraine is routinely dismissed as Russophobia. Meanwhile, on Russian state TV: ",Ukraine,0.2235,0.106,0.0,Russian,Russia,0,0,0,0,1,en
1238,1238,RT duty2warn: The International Court of Justice (in the Hague) will rule on the case of Ukraine vs. Russia on March 16. ,Ukraine,0.5267,0.139,0.0,Russia,0,0,0,0,0,1,en
1239,1239,"RT natemook: We got a request from the town of Zolochiv, Ukraineabout 90 minutes east of Lvivthat food was needed to support displaced f ",Ukraine,0.4019,0.114,0.0,0,0,0,0,0,0,1,en
1240,1240,RT ccradle: newtgingrich jackiecushman Isnt Zelenskyy the guy your MAgA God Trump tried to blackmail As I remember the MAGA GOP didnt ,Zelensky,0.2732,0.095,0.0,0,0,0,0,0,0,1,en
1241,1241,RT mmpadellan: Have any nontaxable megachurches donated anything to the refugees fleeing Ukraine Just curious. ,Ukraine,0.3182,0.141,0.0,0,0,0,0,0,0,1,en
1242,1242,RT mmpadellan: Have any nontaxable megachurches donated anything to the refugees fleeing Ukraine Just curious. ,Ukraine,0.3182,0.141,0.0,0,0,0,0,0,0,1,en
1243,1243,RT JoJoFromJerz: A whole lot of Republicans are currently hedging their bets by voicing opposition to Putin while supporting trump at the ,Putin,0.4404,0.127,0.0,0,0,0,0,0,0,1,en
1244,1244,"Wha matters is identity, selfidentity. I imagine there are far fewer people in Ukraine willing to selfidentify as https://t.co/7VBcRoL8RR ",Ukraine,0.0258,0.061,0.0,0,0,0,0,0,0,1,en
1245,1245,BarcaFan2000 sergioslov the irony is madd I really really really really really hope putin drops one on ur head ,Putin,0.5477,0.178,0.057,0,0,0,0,0,0,1,en
1246,1246,"RT africabnn: The United Kingdom Home Office said it has granted 4,000 Ukrainian refugees British visas as of 3pm on Sunday. This was con ",Ukrainian,0.5859,0.179,0.0,0,0,0,0,0,0,1,en
1247,1247,RT mawawiz: Hey would somebody like to commission me for a donation to Ukraine humanitarian organisationsRussian organisations helping pr ,Ukraine,0.5719,0.227,0.0,Russian,Russia,0,0,0,0,1,en
1248,1248,Ukrainians just casually bombing civilians. For the (insert arbitrary number) time in eight years. Donetsk LPR https://t.co/Qxt1tous9m ,Ukrainian,0.1779,0.096,0.0,0,0,0,0,0,0,1,en
1249,1249,RT MollyJongFast: Pretty stark contrast between the brave citizens of Ukraine and the truckers who still dont know what theyre protestin ,Ukraine,0.765,0.258,0.0,0,0,0,0,0,0,1,en
1250,1250,"RT tomiahonen: We have now seen 19 days of this war. Russia is FAR worse than expected. Ukraine is incredibly brave, bold and successful, ",Ukraine,0.3912,0.28,0.208,Russia,0,0,0,0,0,1,en
1251,1251,RT ZelenskyyUa: Discussed with President of the Commission vonderleyen the s support for in countering Russian aggression. Incre ,Zelensky,0.128,0.136,0.111,Russian,Russia,0,0,0,0,1,en
1252,1252,"RT MontyBoa99: Foxyonat Thats what happens when Putin thinks youre his best buddy, and then you go all Western sanctions on him. https… ",Putin,0.6369,0.16,0.0,0,0,0,0,0,0,1,en
1253,1253,RT MoonYourNFT: FREE Mint Raffle of GRUNTZ Limited Edition UKRAINE Collection Register Here: https://t.co/LXFAdOV48i Follow the St ,Ukraine,0.4824,0.193,0.091,0,0,0,0,0,0,1,en
1254,1254,RT WarintheFuture: Day 19 of the Russian invasion of Ukraine. Today I examine the implications of Russian personnel commitments and losse ,Ukraine,0.128,0.073,0.0,Russian,Russia,0,0,0,0,1,en
1256,1256,RT CimmerianAshes: Free NFT Raffle of GRUNTZ Limited Edition UKRAINE Collection. LikeRT amp Tag a friend Register Here: https://t.co/kp3m… ,Ukraine,0.6808,0.278,0.081,0,0,0,0,0,0,1,en
1257,1257,"RT barneslaw: Soros, Davos amp allies want IMF style globalist rule with Russia as a quasicolony, 1990s style, like Ukraine is now, as a g ",Ukraine,0.4215,0.16,0.0,Russia,0,0,0,0,0,1,en
1258,1258,RT GlasnostGone: Goodnight Ukraine. Please StandWithUkraine and please dont ever stop. https://t.co/FfwMLYu9dm ,Ukraine,0.6692,0.419,0.0,0,0,0,0,0,0,1,en
1259,1259,HozzaArmidaleRd The original invasion was primarily conscripts. Putin is now using large numbers of mercenaries https://t.co/CWE6n3cEbu ,Putin,0.3182,0.133,0.0,0,0,0,0,0,0,1,en
1260,1260,RT SecBlinken: Good to speak with Croatian Prime Minister AndrejPlenkovic and reaffirm our support for Ukraine in the face of Putins con ,Putin,0.6808,0.219,0.0,Ukraine,0,0,0,0,0,1,en
1261,1261,"RT BrotherJulius83: A friend of mine, who happens to be Polish, has been doing relief work in the Ukraine with the Red Cross. She has bee ",Ukraine,0.743,0.215,0.0,0,0,0,0,0,0,1,en
1262,1262,"RT globeandmail: Russia and Ukraine make up a quarter of global wheat exports, and are near the top of the production list when it comes t ",Ukraine,0.2023,0.073,0.0,Russia,0,0,0,0,0,1,en
1263,1263,"Masjatut Petraresearch1 MTIClarke hakimpalestine Even Ukraine Well they have Nazis, which is apparently enou https://t.co/SbYKgoSpqD ",Ukraine,0.2732,0.13,0.0,0,0,0,0,0,0,1,en
1264,1264,RT jennycohn1: it appears that Russia targeted the Council for National Policy after the Soviet Union Fell. NaftaSib reached out to Jack ,Russia,0.1027,0.062,0.0,0,0,0,0,0,0,1,en
1265,1265,"RT zoyashef: New Zelenskyy video. Its really strong. First, he addresses the free people of a free Ukraine, in Ukrainian. Says it has b ",Ukraine,0.8805,0.349,0.0,Ukrainian,Zelensky,0,0,0,0,1,en
1266,1266,RT ukraineworld: Estonias Parliament voted in support of: gt nofly zone over Ukraine gt comprehensive trade embargo on Russia amp Belarus gt ,Ukraine,0.8402,0.393,0.0,Russia,0,0,0,0,0,1,en
1267,1267,"POTUS Suddenly found out that what Zelensky asked Europe and the United States to do, Europe and the United States will do what ",Zelensky,0.6808,0.211,0.0,0,0,0,0,0,0,1,en
1268,1268,"RT micheletraxx: AricToler Putin will just feed his military dog food, like he did in 2011. They called it beef stew, but when they remo ",Putin,0.1901,0.068,0.0,0,0,0,0,0,0,1,en
1269,1269,RT GoHappyAlways: President Zelensky is a First Rate Class Act and a heartfelt communicator. The world is starving for authenticity. ,Zelensky,0.1779,0.157,0.126,0,0,0,0,0,0,1,en
1270,1270,kgopinion LuchG2 This is the only way to support Ukraine Only a Putin puppet wouldnt pay 100 per gallon Yea https://t.co/DE5NlBZAEw ,Putin,0.4581,0.182,0.0,Ukraine,0,0,0,0,0,1,en
1271,1271,"TheAnswerYes RogueAmerican1 Russia Ukraine You got it the other way around, thats why Putin didnt attack whe https://t.co/90B9mXuidp ",Putin,0.3724,0.131,0.0,Ukraine,Russia,0,0,0,0,1,en
1272,1272,RT JuliaDavisNews: Interesting addition to this TASS article. Now they note that Marina Ovsyannikova was born in Odesa (Ukraine). That is ,Ukraine,0.4019,0.119,0.0,0,0,0,0,0,0,1,en
1273,1273,RT PirlErika: China continues to press about US funded biolabs citing a 2005 agreement between the US DoD and Ukraine. Once again we ,Ukraine,0.4939,0.132,0.0,0,0,0,0,0,0,1,en
1274,1274,"RT MeidasTouch: At the Trump rally this weekend, waltermasterson found that many Trump supporters believe that Trump, Putin and Xi Jinpin ",Putin,0.4404,0.127,0.0,0,0,0,0,0,0,1,en
